	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	p25	p75
					
SPREADRAW	8,509	280.6	127.5	175	350
HASINST	8,492	1	0	1	1
NUMLENDERS	8,492	9.838	10.65	3	13
LOANAMT	8,509	4.686	1.598	3.689	5.784
MATURITY	8,509	51.33	23.01	36	60
LEV	8,485	0.383	0.257	0.208	0.520
PROFIT	8,509	-0.00435	0.140	-0.0231	0.0486
MVE	8,497	2,104	4,965	123.9	1,765
AT	8,509	3,601	7,935	248.2	2,617
ALTMANZ	7,358	2.608	3.250	1.171	3.373
NUMEST	8,509	5.170	6.046	0	8
D_EST	8,509	0.705	0.456	0	1
RATING	4,226	10.66	2.600	9	12
RATED	8,509	0.498	0.500	0	1
INVG	4,226	0.649	0.477	0	1
					
